,mean_abs_shap
Age,0.9205115
PPI_SUM,0.73836815
FD,0.611429
BF_Ex,0.5037171
BF_Op,0.47315362
SCI,0.47046372
BF_Co,0.45832193
CO,0.40337998
BF_Ag,0.36751267
MonthsInJob,0.35396233
BF_Em,0.13990848
Gender_male,0.08605853
