Predictor,Outcome,r,CI_lower,CI_upper,CI_width
FD,ProfSat_composite,0.12946237430047886,0.03770902478696724,0.22050894258640705,0.1827999177994398
FD,MatSucc_composite,0.15254375535009976,0.05525873048237702,0.2555965502118235,0.20033781972944648
SCI,ProfSat_composite,-0.13952224181529282,-0.24539017558170806,-0.038931061136346076,0.20645911444536197
SCI,MatSucc_composite,-0.01315512107081852,-0.10310536858217273,0.0816819894353486,0.18478735801752133
CO,ProfSat_composite,-0.046450690468271785,-0.14432668415209832,0.05465980519969232,0.19898648935179064
CO,MatSucc_composite,-0.0032884414787731613,-0.0949384542825698,0.09541139086835121,0.19034984515092102
PPI_SUM,ProfSat_composite,-0.025765589035530452,-0.12717518916860007,0.06928005500932852,0.1964552441779286
PPI_SUM,MatSucc_composite,0.09430978587954363,-0.007639316586423922,0.19874162035808285,0.20638093694450677
