FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,CareerSat,PromSat,SalSat,AnnSalary,PromFreq,OwnOffice,CarAccess,Budget,Employee,ProfSat_composite,MatSucc_composite,ProfStd,Gender,MonthsInJob,Age,IM,Gender_male,ProfSat_z,MatSucc_z
38,39,13,102,8,9,9,8,7,7,6.0,5,1,1.0,1,1,1,1,19,6.0,4,2,9.0,18,30.0,1,0.2357723324601631,-1.0576813258565811
40,29,8,89,8,9,11,10,11,7,1.0,7,3,1.0,1,1,5,1,18,12.0,8,2,4.0,34,27.0,1,0.06210781240980806,0.33559512745223846
54,34,16,120,11,8,11,12,12,7,7.0,6,3,5.0,1,9,7,6,23,31.0,23,2,42.0,32,27.0,1,0.9304304126615832,4.747637229596834
42,23,9,90,11,11,9,11,9,7,8.0,8,2,2.0,1,1,1,3,25,10.0,6,2,49.0,26,31.0,1,1.2777594527622933,-0.12883035698403475
50,33,14,112,9,7,12,11,13,6,3.0,5,2,2.0,1,1,1,1,16,8.0,4,2,24.0,29,30.0,1,-0.285221227690902,-0.593255841420308
50,21,8,91,8,9,12,13,9,7,6.0,4,2,3.0,2,1,7,2,19,17.0,12,2,14.0,23,30.0,1,0.2357723324601631,1.4966588385429216
45,30,12,102,11,11,11,11,12,6,5.0,3,2,2.0,1,1,1,1,16,8.0,4,2,30.0,26,21.0,1,-0.285221227690902,-0.593255841420308
48,29,14,105,10,10,7,11,11,8,8.0,7,5,4.0,1,1,2,2,28,15.0,6,2,64.0,31,25.0,1,1.7987530129133584,1.0322333541066484
45,22,12,91,3,10,11,11,8,7,7.0,3,2,1.0,1,1,1,2,19,8.0,5,2,13.0,24,53.0,1,0.2357723324601631,-0.593255841420308
42,28,7,94,7,10,7,11,13,3,1.0,2,2,1.0,1,1,1,2,8,8.0,5,2,13.0,56,33.0,1,-1.6745373880937424,-0.593255841420308
44,34,10,105,3,13,9,12,11,4,4.0,4,2,3.0,1,1,1,1,14,9.0,4,2,14.0,35,28.0,1,-0.632550267791612,-0.36104309920217137
44,28,11,95,11,9,8,10,10,7,8.0,7,2,4.0,1,1,1,4,24,13.0,7,2,30.0,26,33.0,1,1.1040949327119383,0.5678078696703751
33,25,14,84,9,8,10,10,10,8,8.0,9,3,6.0,1,1,1,2,28,14.0,5,2,66.0,50,43.0,1,1.7987530129133584,0.8000206118885117
45,33,10,100,12,9,10,11,12,8,9.0,8,2,7.0,3,1,3,2,27,18.0,9,2,96.0,48,23.0,1,1.6250884928630034,1.7288715807610582
39,37,12,102,6,8,9,7,8,6,7.0,6,2,5.0,1,1,2,2,21,13.0,6,2,18.0,30,29.0,1,0.5831013725608732,0.5678078696703751
37,29,18,93,10,12,9,13,8,3,3.0,4,2,4.0,1,1,4,1,12,13.0,7,2,,49,27.0,1,-0.9798793078923221,0.5678078696703751
42,17,13,85,7,7,13,12,11,5,4.0,6,2,2.0,1,1,1,2,17,9.0,5,2,50.0,29,47.0,1,-0.11155670764054698,-0.36104309920217137
36,36,13,100,9,7,7,9,8,6,7.0,7,3,5.0,2,2,1,4,23,17.0,9,2,96.0,34,30.0,1,0.9304304126615832,1.4966588385429216
32,31,11,87,6,7,11,9,8,2,3.0,3,3,4.0,1,1,7,2,11,18.0,11,2,224.0,49,38.0,1,-1.1535438279426773,1.7288715807610582
44,38,13,104,6,7,11,11,8,4,8.0,5,2,1.0,1,1,1,1,19,7.0,4,2,49.0,29,35.0,1,0.2357723324601631,-0.8254685836384446
48,28,10,98,13,11,11,10,10,7,7.0,7,1,2.0,1,1,1,1,22,7.0,4,2,,33,31.0,1,0.7567658926112282,-0.8254685836384446
32,30,12,83,4,10,12,8,7,6,3.0,6,2,1.0,1,1,3,2,17,10.0,7,2,29.0,26,34.0,1,-0.11155670764054698,-0.12883035698403475
32,34,10,87,7,10,11,8,8,7,4.0,7,1,1.0,1,1,1,1,19,6.0,4,2,121.0,35,37.0,1,0.2357723324601631,-1.0576813258565811
48,30,14,109,11,10,10,13,9,5,6.0,4,2,4.0,3,1,2,3,17,15.0,9,2,124.0,38,45.0,1,-0.11155670764054698,1.0322333541066484
34,30,19,95,6,10,9,7,7,1,1.0,1,2,1.0,1,1,1,1,5,7.0,4,2,117.0,39,56.0,1,-2.1955309482448073,-0.8254685836384446
39,24,7,84,11,12,7,11,12,6,9.0,6,1,3.0,1,1,1,1,22,8.0,4,2,16.0,23,44.0,1,0.7567658926112282,-0.593255841420308
46,23,8,89,9,9,12,10,11,5,5.0,6,2,2.0,1,1,1,3,18,10.0,6,2,78.0,31,45.0,1,0.06210781240980806,-0.12883035698403475
33,43,15,107,6,8,5,6,11,8,3.0,3,1,1.0,1,1,1,1,15,6.0,4,2,17.0,21,13.0,1,-0.45888574774125707,-1.0576813258565811
29,38,12,92,8,6,7,8,9,6,7.0,5,1,7.0,1,1,1,1,19,12.0,4,2,95.0,60,21.0,1,0.2357723324601631,0.33559512745223846
35,31,14,90,8,9,11,9,8,6,3.0,7,2,2.0,1,1,1,1,18,8.0,4,2,98.0,32,26.0,1,0.06210781240980806,-0.593255841420308
33,32,15,89,8,5,7,6,11,6,6.0,4,2,2.0,1,5,1,3,18,14.0,10,2,14.0,24,19.0,1,0.06210781240980806,0.8000206118885117
51,39,18,123,10,5,10,10,10,6,6.0,6,1,2.0,3,4,1,2,19,13.0,10,2,14.0,24,17.0,1,0.2357723324601631,0.5678078696703751
37,37,12,92,8,10,10,9,10,7,1.0,6,2,1.0,1,1,1,1,16,7.0,4,2,40.0,34,34.0,1,-0.285221227690902,-0.8254685836384446
46,41,12,114,8,8,6,12,10,6,9.0,4,1,1.0,1,1,1,1,20,6.0,4,2,4.0,24,29.0,1,0.40943685251051815,-1.0576813258565811
38,28,13,91,9,9,11,8,8,7,1.0,7,2,1.0,1,1,1,1,17,7.0,4,2,2.0,25,24.0,1,-0.11155670764054698,-0.8254685836384446
40,29,12,90,7,9,11,9,8,9,5.0,8,2,8.0,1,1,1,1,24,14.0,4,2,27.0,26,32.0,1,1.1040949327119383,0.8000206118885117
26,34,15,86,5,8,5,9,7,4,9.0,7,1,2.0,1,1,1,1,21,7.0,4,2,17.0,23,25.0,1,0.5831013725608732,-0.8254685836384446
28,32,12,84,5,9,12,8,8,5,6.0,3,3,2.0,1,1,7,2,17,16.0,11,2,51.0,27,35.0,1,-0.11155670764054698,1.264446096324785
34,29,10,83,8,9,10,9,10,4,4.0,7,4,1.0,6,1,1,2,19,15.0,10,2,56.0,34,43.0,1,0.2357723324601631,1.0322333541066484
48,30,11,101,10,7,11,12,10,6,6.0,6,3,3.0,1,1,1,1,21,10.0,4,2,23.0,29,40.0,1,0.5831013725608732,-0.12883035698403475
39,29,12,92,9,10,10,11,9,6,6.0,3,1,2.0,1,1,1,1,16,7.0,4,2,7.0,24,34.0,1,-0.285221227690902,-0.8254685836384446
41,30,16,90,4,10,9,11,8,7,6.0,6,2,2.0,1,1,1,1,21,8.0,4,2,90.0,30,27.0,1,0.5831013725608732,-0.593255841420308
44,29,13,98,8,8,11,10,9,4,4.0,6,2,1.0,2,1,1,2,16,9.0,6,2,217.0,33,24.0,1,-0.285221227690902,-0.36104309920217137
50,34,9,108,9,8,9,13,12,4,6.0,6,1,2.0,1,1,1,2,17,8.0,5,2,14.0,25,22.0,1,-0.11155670764054698,-0.593255841420308
22,37,13,85,6,8,11,6,9,5,5.0,6,2,8.0,4,1,1,1,18,17.0,7,2,2.0,23,25.0,1,0.06210781240980806,1.4966588385429216
39,28,10,88,9,11,10,11,10,5,8.0,6,3,5.0,1,5,5,3,22,22.0,14,2,15.0,33,31.0,1,0.7567658926112282,2.6577225496336045
27,24,14,76,7,9,11,8,7,6,6.0,7,3,3.0,1,1,1,1,22,10.0,4,2,29.0,39,32.0,1,0.7567658926112282,-0.12883035698403475
33,26,11,77,6,10,9,8,8,6,4.0,6,2,2.0,1,5,1,1,18,12.0,8,2,157.0,39,36.0,1,0.06210781240980806,0.33559512745223846
52,31,18,115,11,7,11,12,11,8,7.0,7,2,2.0,1,1,3,4,24,13.0,9,2,16.0,24,23.0,1,1.1040949327119383,0.5678078696703751
42,41,9,106,9,9,10,10,9,5,2.0,4,1,1.0,1,1,1,1,12,6.0,4,2,1.0,26,35.0,1,-0.9798793078923221,-1.0576813258565811
39,39,11,106,10,9,6,9,9,7,5.0,6,1,1.0,1,1,1,1,19,6.0,4,2,51.0,25,29.0,1,0.2357723324601631,-1.0576813258565811
28,25,17,78,3,6,11,7,6,9,8.0,8,2,2.0,2,1,1,2,27,10.0,6,2,54.0,26,24.0,1,1.6250884928630034,-0.12883035698403475
22,24,9,67,3,11,12,5,9,3,1.0,1,2,1.0,1,1,1,1,7,7.0,4,2,,23,36.0,1,-1.8482019081440975,-0.8254685836384446
38,38,10,95,11,11,9,9,9,5,5.0,3,1,1.0,1,1,1,1,14,6.0,4,2,66.0,47,26.0,1,-0.632550267791612,-1.0576813258565811
36,33,9,91,9,8,11,7,10,6,5.0,6,2,8.0,1,1,2,4,19,18.0,8,2,2.0,42,34.0,1,0.2357723324601631,1.7288715807610582
29,30,13,83,6,10,8,8,9,4,1.0,4,1,1.0,1,1,1,2,10,7.0,5,2,28.0,28,29.0,1,-1.3272083479930323,-0.8254685836384446
40,27,11,88,8,11,13,11,10,8,8.0,8,1,1.0,2,1,3,2,25,10.0,8,2,183.0,37,45.0,1,1.2777594527622933,-0.12883035698403475
32,40,11,93,5,8,10,6,4,2,2.0,4,2,1.0,1,1,1,1,10,7.0,4,2,60.0,33,37.0,1,-1.3272083479930323,-0.8254685836384446
45,30,20,116,5,12,12,11,10,3,1.0,3,1,1.0,1,1,1,1,8,6.0,4,2,17.0,21,32.0,1,-1.6745373880937424,-1.0576813258565811
39,38,13,98,4,8,10,8,7,2,2.0,2,1,1.0,1,1,1,1,7,6.0,4,2,60.0,30,27.0,1,-1.8482019081440975,-1.0576813258565811
29,31,12,83,5,8,10,8,8,4,5.0,3,1,1.0,1,1,1,1,13,6.0,4,2,39.0,26,33.0,1,-0.8062147878419671,-1.0576813258565811
29,34,10,83,5,8,10,6,6,1,1.0,3,1,1.0,1,1,1,1,6,6.0,4,2,38.0,26,19.0,1,-2.0218664281944525,-1.0576813258565811
23,33,5,74,7,8,13,7,9,6,2.0,7,1,1.0,1,1,1,1,16,6.0,4,2,,24,50.0,1,-0.285221227690902,-1.0576813258565811
33,18,12,71,3,10,11,9,3,1,1.0,1,1,1.0,1,1,1,1,4,6.0,4,2,61.0,23,41.0,1,-2.3691954682951626,-1.0576813258565811
45,42,15,108,3,5,9,5,8,5,5.0,1,1,1.0,3,1,1,1,12,8.0,6,2,14.0,20,30.0,1,-0.9798793078923221,-0.593255841420308
49,26,20,110,9,7,11,13,11,5,3.0,6,1,1.0,1,1,1,1,15,6.0,4,2,36.0,24,27.0,1,-0.45888574774125707,-1.0576813258565811
41,36,13,99,7,8,10,11,11,7,7.0,4,1,3.0,1,1,2,3,19,11.0,7,2,30.0,26,26.0,1,0.2357723324601631,0.10338238523410187
